artist_id,artist_name
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi
246dkjvS1zLTtiykXe5h60,Post Malone
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee
2NjfBq1NflQcKSeiDooVjY,Tones And I
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
3TVXtAsR1Inumwj472S9r4,Drake
3tVQdUvClmAT7URs9V3rsp,Wizkid
77DAFfvm3O9zT5dIoG0eIO,Kyla
6KImCVD70vtIoJWnq6nGn3,Harry Styles
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
1uNFoZAHBGtllmzznpCI3s,Justin Bieber
1URnnhqYAYcrqrcwql10ft,21 Savage
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals
69GGBxA162lTqCwzJG5jLp,The Chainsmokers
26VFTg2z8YR0cCuwLzESi2,Halsey
00XZ6X0nughvhh8I0KeEAy,Indigo Hush
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
4IWBUUAFIplrNtaOHcJPRM,James Arthur
0x3nHkDKmAxnAYxBbRyQbw,Sisters Wade Revival SWR
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
6LuN9FCkKOj5PcnpouEgny,Khalid
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
65myEloviHpLiDJ7sA79DD,Micah McLaurin
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
0PCCGZ0wGLizHt2KZ7hhA2,Artemas
0vAbJ8C43OjhCGbp57YGpL,FELOWER
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
1dfeR4HaWDbWqFHLkxsg1d,Queen
2FXC3k01G6Gw61bmprjgqS,Hozier
7rBLuha3OnMIKjVPOO72NI,Olivia Hellman
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
4VIvfOurcf0vuLRxLkGnIG,Bradley Cooper
10exVja0key0uqUkk6LJRT,Vance Joy
5y2Xq6xcjJb2jVM54GHK3t,John Legend
2jesD34oQL3fEcEtm6jJDs,Lola Balter
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis
3JhNCzhSMTxs9WLGJJxWOY,Macklemore
4myTppRgh0rojLxx8RycOp,Ryan Lewis
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton
2acqLrAZ1lspWmbpQzdiGE,The Hourglass Effect
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION
1vCWHaC5f2uS3yhpwWbIA6,Avicii
5M719s0iFExbYpmLDMudPJ,Sentury
2txHhyCwHjUEpJjWrEyqyX,Tom Odell
0gadJ2b9A4SKsB1RFkBb66,Passenger
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
7CajNmpbOovFoOoasH2HaY,Calvin Harris
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
0VFN7L0HcoAZhdw3cAIMqQ,MELANi
1McMsnEElThX1knmY4oliG,Olivia Rodrigo
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
7dGJo4pcD2V6oG8kP0tJRR,Eminem
64KEffDW9EtZ1y2vBYgq8T,Marshmello
7EQ0qTo7fWT7DPxmxtSYEc,Bastille
6MPCFvOQv5cIGfw3jODMF0,Internet Money
757aE44tKEUQEqRuT6GnEB,Roddy Ricch
46SHBwWsqBkxI7EeeBEQG7,Kodak Black
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
540vIaP2JwjQb9dm3aArA4,DJ Snake
50co4Is1HCEo8bhOyUWKpn,Young Thug
0C0XlULifJtAgn6ZNCW2eu,The Killers
4r63FhuTkUYltbVAg5TQnk,DaBaby
2wY79sveU1sp5g7SokKOiI,Sam Smith
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
2LIk90788K0zvyj2JJVwkJ,Jack Harlow
738wLrAtLtCtFOLvQBXOXp,Major Lazer
0bdfiayQAKewqEvaU6rXCv,MÃ˜
0VRj0yCOv2FXJNP47XQnx5,Quavo
0du5cEVh5yTK9QJze8zA0C,Bruno Mars
04gDigrS5kc9YWfZHwBETP,Maroon 5
4q3ewBCX7sLwd24euuV69X,Bad Bunny
6nVcHLIgY5pE2YCl8ubca1,Jhayco
3ZIvVs9CoUB4YkYTwG36eX,Leo Waters
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN
5rGrDvrLOV2VV8SCFVGWlj,Imanbek
0Cj5PLNNGVOsXUig1ic4s5,Noah Guy
6vXTefBL93Dj5IqAWq6OTv,French Montana
7vk5e3vY1uw9plTHJAMwjN,Alan Walker
2DaxqgrOhkeH0fpeiQq2f4,Oasis
6olE6TJLqED3rqDCT0FyPh,Nirvana
0LyfQWJT6nXafLPZqxe9Of,Various Artists
